Dec. 2, 2021   19:56:59
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 372.51s
ip = 3.933e-8A
Ap = 3.341e-7C

Time/sec, Current/A

1.000e-1, 5.093e-7
2.000e-1, 4.803e-7
3.000e-1, 4.631e-7
4.000e-1, 4.454e-7
5.000e-1, 4.330e-7
6.000e-1, 4.259e-7
7.000e-1, 4.168e-7
8.000e-1, 4.131e-7
9.000e-1, 4.045e-7
1.000e+0, 3.998e-7
1.100e+0, 3.997e-7
1.200e+0, 3.980e-7
1.300e+0, 3.907e-7
1.400e+0, 3.880e-7
1.500e+0, 3.828e-7
1.600e+0, 3.815e-7
1.700e+0, 3.778e-7
1.800e+0, 3.778e-7
1.900e+0, 3.761e-7
2.000e+0, 3.744e-7
2.100e+0, 3.745e-7
2.200e+0, 3.724e-7
2.300e+0, 3.715e-7
2.400e+0, 3.685e-7
2.500e+0, 3.706e-7
2.600e+0, 3.694e-7
2.700e+0, 3.660e-7
2.800e+0, 3.677e-7
2.900e+0, 3.650e-7
3.000e+0, 3.609e-7
3.100e+0, 3.617e-7
3.200e+0, 3.625e-7
3.300e+0, 3.644e-7
3.400e+0, 3.593e-7
3.500e+0, 3.587e-7
3.600e+0, 3.585e-7
3.700e+0, 3.593e-7
3.800e+0, 3.568e-7
3.900e+0, 3.562e-7
4.000e+0, 3.559e-7
4.100e+0, 3.552e-7
4.200e+0, 3.561e-7
4.300e+0, 3.546e-7
4.400e+0, 3.506e-7
4.500e+0, 3.444e-7
4.600e+0, 3.471e-7
4.700e+0, 3.480e-7
4.800e+0, 3.471e-7
4.900e+0, 3.442e-7
5.000e+0, 3.477e-7
5.100e+0, 3.433e-7
5.200e+0, 3.426e-7
5.300e+0, 3.439e-7
5.400e+0, 3.410e-7
5.500e+0, 3.411e-7
5.600e+0, 3.434e-7
5.700e+0, 3.369e-7
5.800e+0, 3.378e-7
5.900e+0, 3.384e-7
6.000e+0, 3.402e-7
6.100e+0, 3.375e-7
6.200e+0, 3.370e-7
6.300e+0, 3.365e-7
6.400e+0, 3.355e-7
6.500e+0, 3.348e-7
6.600e+0, 3.326e-7
6.700e+0, 3.348e-7
6.800e+0, 3.350e-7
6.900e+0, 3.368e-7
7.000e+0, 3.325e-7
7.100e+0, 3.316e-7
7.200e+0, 3.305e-7
7.300e+0, 3.309e-7
7.400e+0, 3.319e-7
7.500e+0, 3.300e-7
7.600e+0, 3.279e-7
7.700e+0, 3.249e-7
7.800e+0, 3.308e-7
7.900e+0, 3.286e-7
8.000e+0, 3.289e-7
8.100e+0, 3.268e-7
8.200e+0, 3.261e-7
8.300e+0, 3.287e-7
8.400e+0, 3.244e-7
8.500e+0, 3.262e-7
8.600e+0, 3.262e-7
8.700e+0, 3.224e-7
8.800e+0, 3.225e-7
8.900e+0, 3.253e-7
9.000e+0, 3.210e-7
9.100e+0, 3.182e-7
9.200e+0, 3.252e-7
9.300e+0, 3.190e-7
9.400e+0, 3.206e-7
9.500e+0, 3.226e-7
9.600e+0, 3.189e-7
