Dec. 2, 2021   20:40:44
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 169.20s
ip = 9.721e-9A
Ap = 6.985e-8C

tp = 191.40s
ip = 1.208e-8A
Ap = 5.135e-8C

Time/sec, Current/A

1.000e-1, 4.818e-4
2.000e-1, 4.716e-4
3.000e-1, 4.600e-4
4.000e-1, 4.472e-4
5.000e-1, 4.336e-4
6.000e-1, 4.195e-4
7.000e-1, 4.051e-4
8.000e-1, 3.903e-4
9.000e-1, 3.751e-4
1.000e+0, 3.597e-4
1.100e+0, 3.439e-4
1.200e+0, 3.278e-4
1.300e+0, 3.115e-4
1.400e+0, 2.953e-4
1.500e+0, 2.789e-4
1.600e+0, 2.625e-4
1.700e+0, 2.462e-4
1.800e+0, 2.300e-4
1.900e+0, 2.144e-4
2.000e+0, 1.995e-4
2.100e+0, 1.853e-4
2.200e+0, 1.719e-4
2.300e+0, 1.594e-4
2.400e+0, 1.479e-4
2.500e+0, 1.372e-4
2.600e+0, 1.275e-4
2.700e+0, 1.189e-4
2.800e+0, 1.111e-4
2.900e+0, 1.042e-4
3.000e+0, 9.778e-5
3.100e+0, 9.198e-5
3.200e+0, 8.668e-5
3.300e+0, 8.192e-5
3.400e+0, 7.755e-5
3.500e+0, 7.352e-5
3.600e+0, 6.984e-5
3.700e+0, 6.645e-5
3.800e+0, 6.338e-5
3.900e+0, 6.048e-5
4.000e+0, 5.770e-5
4.100e+0, 5.508e-5
4.200e+0, 5.267e-5
4.300e+0, 5.043e-5
4.400e+0, 4.834e-5
4.500e+0, 4.635e-5
4.600e+0, 4.449e-5
4.700e+0, 4.269e-5
4.800e+0, 4.100e-5
4.900e+0, 3.941e-5
5.000e+0, 3.789e-5
5.100e+0, 3.644e-5
5.200e+0, 3.510e-5
5.300e+0, 3.383e-5
5.400e+0, 3.262e-5
5.500e+0, 3.151e-5
5.600e+0, 3.048e-5
5.700e+0, 2.947e-5
5.800e+0, 2.853e-5
5.900e+0, 2.763e-5
6.000e+0, 2.676e-5
6.100e+0, 2.595e-5
6.200e+0, 2.519e-5
6.300e+0, 2.448e-5
6.400e+0, 2.379e-5
6.500e+0, 2.315e-5
6.600e+0, 2.254e-5
6.700e+0, 2.197e-5
6.800e+0, 2.144e-5
6.900e+0, 2.093e-5
7.000e+0, 2.042e-5
7.100e+0, 1.994e-5
7.200e+0, 1.949e-5
7.300e+0, 1.906e-5
7.400e+0, 1.865e-5
7.500e+0, 1.827e-5
7.600e+0, 1.790e-5
7.700e+0, 1.754e-5
7.800e+0, 1.717e-5
7.900e+0, 1.684e-5
8.000e+0, 1.653e-5
8.100e+0, 1.623e-5
8.200e+0, 1.593e-5
8.300e+0, 1.565e-5
8.400e+0, 1.537e-5
8.500e+0, 1.508e-5
8.600e+0, 1.482e-5
8.700e+0, 1.458e-5
8.800e+0, 1.435e-5
8.900e+0, 1.411e-5
9.000e+0, 1.387e-5
9.100e+0, 1.364e-5
9.200e+0, 1.342e-5
9.300e+0, 1.320e-5
9.400e+0, 1.301e-5
9.500e+0, 1.281e-5
9.600e+0, 1.262e-5
9.700e+0, 1.241e-5
9.800e+0, 1.225e-5
9.900e+0, 1.206e-5
1.000e+1, 1.189e-5
1.010e+1, 1.171e-5
1.020e+1, 1.154e-5
1.030e+1, 1.138e-5
1.040e+1, 1.123e-5
1.050e+1, 1.108e-5
1.060e+1, 1.093e-5
1.070e+1, 1.077e-5
1.080e+1, 1.062e-5
1.090e+1, 1.049e-5
1.100e+1, 1.035e-5
1.110e+1, 1.021e-5
1.120e+1, 1.008e-5
1.130e+1, 9.948e-6
1.140e+1, 9.823e-6
1.150e+1, 9.703e-6
1.160e+1, 9.583e-6
1.170e+1, 9.470e-6
1.180e+1, 9.354e-6
1.190e+1, 9.246e-6
1.200e+1, 9.146e-6
1.210e+1, 9.043e-6
1.220e+1, 8.948e-6
1.230e+1, 8.870e-6
1.240e+1, 8.777e-6
1.250e+1, 8.688e-6
1.260e+1, 8.611e-6
1.270e+1, 8.518e-6
1.280e+1, 8.432e-6
1.290e+1, 8.346e-6
1.300e+1, 8.266e-6
1.310e+1, 8.195e-6
1.320e+1, 8.118e-6
1.330e+1, 8.040e-6
1.340e+1, 7.968e-6
1.350e+1, 7.910e-6
1.360e+1, 7.838e-6
1.370e+1, 7.769e-6
1.380e+1, 7.695e-6
1.390e+1, 7.629e-6
1.400e+1, 7.564e-6
1.410e+1, 7.497e-6
1.420e+1, 7.428e-6
1.430e+1, 7.380e-6
1.440e+1, 7.322e-6
1.450e+1, 7.253e-6
1.460e+1, 7.195e-6
1.470e+1, 7.141e-6
1.480e+1, 7.084e-6
1.490e+1, 7.013e-6
1.500e+1, 6.943e-6
1.510e+1, 6.893e-6
1.520e+1, 6.854e-6
1.530e+1, 6.812e-6
1.540e+1, 6.774e-6
1.550e+1, 6.721e-6
1.560e+1, 6.678e-6
1.570e+1, 6.638e-6
1.580e+1, 6.610e-6
1.590e+1, 6.568e-6
1.600e+1, 6.526e-6
1.610e+1, 6.492e-6
1.620e+1, 6.455e-6
1.630e+1, 6.403e-6
1.640e+1, 6.357e-6
1.650e+1, 6.322e-6
1.660e+1, 6.285e-6
1.670e+1, 6.250e-6
1.680e+1, 6.214e-6
1.690e+1, 6.174e-6
1.700e+1, 6.150e-6
1.710e+1, 6.118e-6
1.720e+1, 6.088e-6
1.730e+1, 6.043e-6
1.740e+1, 6.009e-6
1.750e+1, 5.974e-6
1.760e+1, 5.932e-6
1.770e+1, 5.898e-6
1.780e+1, 5.873e-6
1.790e+1, 5.834e-6
1.800e+1, 5.797e-6
1.810e+1, 5.775e-6
1.820e+1, 5.740e-6
1.830e+1, 5.712e-6
1.840e+1, 5.691e-6
1.850e+1, 5.665e-6
1.860e+1, 5.639e-6
1.870e+1, 5.613e-6
1.880e+1, 5.596e-6
1.890e+1, 5.568e-6
1.900e+1, 5.542e-6
1.910e+1, 5.519e-6
1.920e+1, 5.495e-6
